Event	ID	Name			Wwise Object Path	Notes
	507378310	Play_L3_destroy			\Level3\Level3\Play_L3_destroy	
	1152672460	Hit_Record			\Level3\Level3\Hit_Record	
	1157264013	Play_Level3_Getit			\Level3\Level3\Play_Level3_Getit	
	1239937734	Play_Unlock			\Level3\Level3\Play_Unlock	
	1593461692	Play_L3_Jump			\Level3\Level3\Play_L3_Jump	
	2056255347	Play_Fourier_Scene			\Level3\Level3\Play_Fourier_Scene	
	2383533353	Play_L3_Bad			\Level3\Level3\Play_L3_Bad	
	2725902265	Play_Fourier_new			\Level3\Level3\Play_Fourier_new	
	3290345476	Play_Level3_Eyesopen			\Level3\Level3\Play_Level3_Eyesopen	
	3689126666	Play_Jump			\Level3\Level3\Play_Jump	
	3740802191	Play_L3_Perfect			\Level3\Level3\Play_L3_Perfect	
	4190464387	Play_L3_Hit_bad			\Level3\Level3\Play_L3_Hit_bad	
	4285282925	Play_Land			\Level3\Level3\Play_Land	

Effect plug-ins	ID	Name	Type				Notes
	945801009	RoomVerb (Custom)	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	64915519	jump	C:\Users\55089\Documents\GitHub\IndieGameProject-Pocket_Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\jump_3F75BDB9.wem		\Actor-Mixer Hierarchy\Level 3\SFX\Jump\jump		15326
	87991687	Level3_Eyesopen	C:\Users\55089\Documents\GitHub\IndieGameProject-Pocket_Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\Level3_Eyesopen_3F75BDB9.wem		\Actor-Mixer Hierarchy\Level 3\SFX\Level3_Eyesopen		43510
	126321576	傅里叶棋盘_节奏1	C:\Users\55089\Documents\GitHub\IndieGameProject-Pocket_Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\Fourier_level1_1_E0849FC5.wem		\Interactive Music Hierarchy\FourierBGM\Fourier_New\Fourier_new\傅里叶棋盘_节奏1		264760
	198103246	傅里叶棋盘_伴奏	C:\Users\55089\Documents\GitHub\IndieGameProject-Pocket_Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\傅里叶棋盘_伴奏_D79FB2B7.wem		\Interactive Music Hierarchy\FourierBGM\Fourier_New\Fourier_new\傅里叶棋盘_伴奏		32256096
	228576140	L3_Jump	C:\Users\55089\Documents\GitHub\IndieGameProject-Pocket_Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\L3_Jump_713FA6BE.wem		\Actor-Mixer Hierarchy\Level 3\SFX\L3_Jump\L3_Jump		10282
	244990863	L3_bad01	C:\Users\55089\Documents\GitHub\IndieGameProject-Pocket_Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\L3_bad01_3F75BDB9.wem		\Actor-Mixer Hierarchy\Level 3\SFX\L3_Bad\L3_bad01		17814
	300062368	L3_Perfect04	C:\Users\55089\Documents\GitHub\IndieGameProject-Pocket_Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\L3_Perfect04_3F75BDB9.wem		\Actor-Mixer Hierarchy\Level 3\SFX\L3_Perfect\L3_Perfect04		10190
